,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,hilo,1,US,1570379772,68,19.71,-155.08,69.8,6.93
89,victoria,75,BN,1570379773,74,5.28,115.24,82.4,4.7
90,vaini,40,IN,1570379773,94,15.34,74.49,71.6,3.36
91,shubarkuduk,0,KZ,1570379773,25,49.15,56.49,54.81,10.2
92,liverpool,75,GB,1570379672,93,53.41,-2.98,59.0,13.87
93,fortuna,1,US,1570379774,87,40.6,-124.16,55.0,9.17
94,leningradskiy,47,RU,1570379774,75,69.38,178.42,25.49,13.69
95,okha,62,RU,1570379774,85,53.59,142.95,37.94,10.09
96,bethel,75,US,1570379775,93,60.79,-161.76,37.4,11.41
97,atuona,29,PF,1570379775,67,-9.8,-139.03,79.65,18.08
98,dingle,21,PH,1570379775,91,11.0,122.67,74.5,8.16
99,torbay,20,CA,1570379653,53,47.66,-52.73,50.0,18.34
100,jumla,3,NP,1570379776,88,29.28,82.18,46.04,3.89
101,huilong,100,CN,1570379776,91,31.15,106.5,62.57,10.83
102,georgetown,40,GY,1570379604,70,6.8,-58.16,87.8,9.17
103,tuatapere,100,NZ,1570379776,93,-46.13,167.69,43.0,1.01
104,port blair,29,CD,1570379734,55,-7.04,29.76,71.78,2.35
105,daru,100,PG,1570379777,94,-9.07,143.21,74.37,8.23
106,aloleng,0,PH,1570379778,75,16.13,119.78,82.92,12.53
107,broome,75,GB,1570379779,100,52.47,1.45,57.0,10.29
108,laguna de perlas,75,BZ,1570379779,74,16.17,-88.94,86.0,4.7
109,zheleznodorozhnyy,90,RU,1570379596,96,55.75,38.0,35.6,17.9
110,isangel,20,VU,1570379779,88,-19.55,169.27,68.0,11.16
111,pahrump,1,US,1570379651,10,36.21,-115.98,72.0,11.83
112,matagami,0,NG,1570379780,68,9.67,8.4,71.6,12.75
113,bambous virieux,40,MU,1570379781,78,-20.26,57.41,75.2,10.29
114,jizan,40,SA,1570379781,70,16.89,42.56,91.4,8.05
115,xichang,97,CN,1570379781,95,27.88,102.25,52.5,2.17
116,chupaca,25,PE,1570379781,31,-12.06,-75.29,59.38,5.37
117,straumen,0,NO,1570379782,60,63.87,11.3,46.0,4.79
118,bongandanga,100,CD,1570379782,92,1.51,21.07,73.08,1.42
119,hambantota,75,LK,1570379782,100,6.12,81.12,75.2,2.24
120,riyadh,40,SA,1570379684,19,24.63,46.72,95.0,5.82
121,esperance,18,AU,1570379783,93,-33.86,121.89,44.6,5.82
122,sorland,40,NO,1570379784,65,67.67,12.69,46.4,17.22
123,yekaterinoslavka,0,RU,1570379784,54,54.34,72.46,53.33,0.26
124,new norfolk,75,LR,1570379784,83,6.65,-10.59,82.4,5.82
125,kodiak,20,US,1570379785,93,39.95,-94.76,55.4,4.7
126,sao raimundo nonato,99,IN,1570379785,79,20.51,76.21,74.91,1.32
127,ostrovnoy,2,RU,1570379785,90,68.05,39.51,28.55,12.71
128,litovko,48,RU,1570379785,75,49.24,135.18,40.07,6.98
129,hofn,90,IS,1570379786,100,64.25,-15.21,50.0,14.99
130,arraial do cabo,40,BR,1570379786,35,-22.84,-46.65,87.8,3.36
131,blyth,75,GB,1570379787,100,55.12,-1.5,53.01,6.93
132,west bay,1,US,1570379787,46,31.8,-97.09,90.0,13.87
133,east london,100,UG,1570379787,93,3.43,31.7,69.69,4.06
134,mackenzie,75,CA,1570379787,75,55.34,-123.09,41.0,17.22
135,chuy,12,UY,1570379788,66,-33.69,-53.46,62.73,5.89
136,lakatoro,94,VU,1570379788,82,-16.11,167.42,77.61,9.33
137,half moon bay,75,LR,1570379788,83,6.38,-10.7,82.4,5.82
138,sao jose da coroa grande,99,IN,1570379762,79,20.51,76.21,74.91,1.32
139,haapiti,75,PF,1570379789,83,-17.57,-149.87,75.2,3.36
140,san cristobal,100,ML,1570379578,57,13.3,-4.9,85.26,12.08
141,tecoanapa,90,MX,1570379789,79,16.99,-99.26,84.2,2.24
142,longyan,28,CN,1570379790,95,25.1,117.03,66.35,1.74
143,chara,20,GR,1570379791,64,39.42,22.43,69.8,9.17
144,saskylakh,82,RU,1570379791,99,71.97,114.09,16.14,1.05
145,botro,40,CI,1570379792,83,7.85,-5.31,80.6,4.7
146,butaritari,12,KI,1570379792,62,3.07,172.79,85.07,4.34
147,vostok,0,RU,1570379792,73,46.45,135.83,32.56,4.91
148,beloha,1,MG,1570379793,73,-25.17,45.06,71.84,17.3
149,oussouye,20,SN,1570379793,70,12.49,-16.54,93.2,4.7
150,bayir,0,TR,1570379793,53,37.27,28.22,71.6,9.17
151,plettenberg bay,90,DE,1570379794,87,51.21,7.87,50.0,13.87
152,tandil,0,AR,1570379794,32,-37.33,-59.14,73.0,19.46
153,santa ana,71,PH,1570379794,76,17.49,120.43,82.78,6.11
154,ponta do sol,93,BR,1570379795,42,-0.53,-65.05,94.03,3.78
155,rocha,0,UY,1570379795,54,-34.48,-54.34,63.03,5.53
156,flinders,75,AU,1570379795,77,-34.58,150.85,64.99,9.17
157,vana-vigala,75,EE,1570379796,100,58.78,24.25,37.4,3.36
158,sinnamary,1,GF,1570379796,77,5.38,-52.96,82.24,12.92
159,kaitangata,97,NZ,1570379796,86,-46.28,169.85,37.99,3.0
160,narsaq,15,GL,1570379796,53,60.91,-46.05,43.74,2.01
161,sobolevo,100,RU,1570379797,78,54.43,31.9,34.47,8.68
162,voyvozh,97,RU,1570379797,89,62.89,54.96,31.79,1.86
163,pasinler,75,TR,1570379797,62,39.98,41.67,55.4,11.41
164,tuy hoa,20,PH,1570379798,69,14.02,120.73,82.4,3.36
165,kodinsk,100,RU,1570379798,81,58.6,99.18,32.54,5.61
166,mocuba,70,MZ,1570379798,72,-16.84,36.99,74.36,7.12
167,nortelandia,87,BR,1570379800,56,-14.45,-56.8,82.89,7.96
168,paka,86,CF,1570379800,94,4.15,15.03,70.92,1.26
169,hashtrud,0,IR,1570379800,33,37.48,47.05,57.04,14.74
170,solnechnyy,61,RU,1570379801,91,50.72,136.64,34.95,4.21
171,tiksi,91,RU,1570379801,95,71.64,128.87,19.78,4.36
172,bahia blanca,0,BR,1570379801,22,-3.55,-40.25,99.36,4.54
173,khani,90,GE,1570379801,94,41.96,42.96,69.8,10.29
174,morondava,29,MG,1570379802,76,-20.3,44.28,77.58,21.25
175,savinka,100,RU,1570379802,29,50.08,47.1,64.6,16.71
176,paamiut,0,GL,1570379802,68,61.99,-49.67,38.3,27.74
